1 | 4 | 2017-09-01 11:32:49 | 500 | 1345 |
2 | 3 | 2017-09-01 15:00:06 | 350 | 7623 |
3 | 3 | 2017-09-02 20:53:17 | 250 | 5675 |
4 | 2 | 2017-09-02 21:37:12 | 500 | 4154 |
5 | 4 | 2017-09-02 22:01:24 | 350 | 5675 |
6 | 1 | 2017-09-02 22:59:20 | 500 | 1345 |
7 | 3 | 2017-09-03 09:06:14 | 350 | 8672 |
8 | 3 | 2017-09-03 09:57:44 | 350 | 1499 |
9 | 1 | 2017-09-03 12:44:12 | 350 | 4154 |
10 | 3 | 2017-09-03 19:08:11 | 500 | 1345 |
11 | 1 | 2017-09-02 22:59:20 | 500 | 1345 |
12 | 3 | 2017-09-03 09:06:14 | 350 | 8672 |
13 | 3 | 2017-09-03 09:57:44 | 350 | 1499 |
14 | 1 | 2017-09-03 12:44:12 | 350 | 4154 |
15 | 3 | 2017-09-03 19:08:11 | 500 | 1345 |
